,Previous Temp,Previous Hum,Previous Wind,Previous Press,Previous Prec,Previous PM2.5,Previous PM10,Previous SO2,Previous CO,Previous NO2,Previous O3_8h,Previous AQI Level,AQI Level,Previous AQI,AQI
Previous Temp,1.0,0.6151603180605677,-0.16285437774350886,-0.12260659461995702,0.16717981041651003,0.072717454035604,0.090681868990394,-0.4682522064750017,-0.04397827462072525,-0.2103865856877149,0.7424841287874582,0.29491830987984313,0.2344287043946577,0.3056146752455298,0.24414684938527426
Previous Hum,0.6151603180605677,1.0,-0.45060443559278424,-0.10177596931550162,0.256365096425525,0.34043973420761325,0.13415160624946382,-0.30071046157502307,0.37375737298596756,0.07170807103346451,0.25351147736830926,0.27538873896937566,0.14553462640834167,0.3034399390135666,0.16852090083117915
Previous Wind,-0.16285437774350886,-0.45060443559278424,1.0,0.00994761996875155,0.016087854542322175,-0.3374223517589009,-0.16280588162873652,-0.18507458354846038,-0.39441110808476676,-0.43012486765412755,-0.057061013063153185,-0.27113142482799374,-0.29464490123203524,-0.2924909352843679,-0.30721792762686867
Previous Press,-0.12260659461995702,-0.10177596931550162,0.00994761996875155,1.0,-0.0461858352984591,-0.073359198432565,-0.06611011481857167,0.03981595378570045,-0.0434651818585597,-0.008371411797294262,-0.09172828745981883,-0.003896299229038753,0.016596961307750836,0.018621838132740404,0.03857016341634034
Previous Prec,0.16717981041651003,0.256365096425525,0.016087854542322175,-0.0461858352984591,1.0,0.03086448381728496,0.005600335397814937,-0.07792553149478001,0.021081941727884128,-0.07973206333836518,-0.004672592597928457,-0.05282969823865483,-0.06572737645484575,-0.034315630427452136,-0.07653801419300739
Previous PM2.5,0.072717454035604,0.34043973420761325,-0.3374223517589009,-0.073359198432565,0.03086448381728496,1.0,0.7718300525192322,0.45627932023735407,0.8333426344269159,0.6412666338984394,0.15601262284124165,0.7712865042560709,0.3141606485343852,0.8302354120222659,0.33799135593020996
Previous PM10,0.090681868990394,0.13415160624946382,-0.16280588162873652,-0.06611011481857167,0.005600335397814937,0.7718300525192322,1.0,0.43881557757654815,0.5691562343209536,0.5705713984119816,0.2381835710773621,0.7232902153672041,0.32091632770080314,0.7501637875106931,0.326186377518708
Previous SO2,-0.4682522064750017,-0.30071046157502307,-0.18507458354846038,0.03981595378570045,-0.07792553149478001,0.45627932023735407,0.43881557757654815,1.0,0.5399911358227582,0.6053423526602563,-0.21222987006330785,0.3171513605594061,0.1605191012965646,0.31021290880159397,0.15584943487294345
Previous CO,-0.04397827462072525,0.37375737298596756,-0.39441110808476676,-0.0434651818585597,0.021081941727884128,0.8333426344269159,0.5691562343209536,0.5399911358227582,1.0,0.6802547097900988,-0.04243029193452586,0.6139904695261041,0.22392086376555556,0.6563075346580401,0.2487746239907157
Previous NO2,-0.2103865856877149,0.07170807103346451,-0.43012486765412755,-0.008371411797294262,-0.07973206333836518,0.6412666338984394,0.5705713984119816,0.6053423526602563,0.6802547097900988,1.0,-0.2222381611156965,0.45084258696436214,0.25250308326755444,0.4795484328545003,0.2594772580980075
Previous O3_8h,0.7424841287874582,0.25351147736830926,-0.057061013063153185,-0.09172828745981883,-0.004672592597928457,0.15601262284124165,0.2381835710773621,-0.21222987006330785,-0.04243029193452586,-0.2222381611156965,1.0,0.510271193855372,0.3398590041356897,0.5211003235372217,0.3617102854591443
Previous AQI Level,0.29491830987984313,0.27538873896937566,-0.27113142482799374,-0.003896299229038753,-0.05282969823865483,0.7712865042560709,0.7232902153672041,0.3171513605594061,0.6139904695261041,0.45084258696436214,0.510271193855372,1.0,0.4235048285988609,0.9487926518886505,0.4533507494553003
AQI Level,0.2344287043946577,0.14553462640834167,-0.29464490123203524,0.016596961307750836,-0.06572737645484575,0.3141606485343852,0.32091632770080314,0.1605191012965646,0.22392086376555556,0.25250308326755444,0.3398590041356897,0.4235048285988609,1.0,0.43386929914287414,0.9488368310622883
Previous AQI,0.3056146752455298,0.3034399390135666,-0.2924909352843679,0.018621838132740404,-0.034315630427452136,0.8302354120222659,0.7501637875106931,0.31021290880159397,0.6563075346580401,0.4795484328545003,0.5211003235372217,0.9487926518886505,0.43386929914287414,1.0,0.46324174148249764
AQI,0.24414684938527426,0.16852090083117915,-0.30721792762686867,0.03857016341634034,-0.07653801419300739,0.33799135593020996,0.326186377518708,0.15584943487294345,0.2487746239907157,0.2594772580980075,0.3617102854591443,0.4533507494553003,0.9488368310622883,0.46324174148249764,1.0
