Time,Temp,Hum,Wind,Pres,Prec,Previous Temp,Previous Hum,Previous Wind,Previous PM2.5,Previous PM10,Previous SO2,Previous CO,Previous NO2,Previous O3_8h,Previous AQI Level,AQI Level,Previous AQI,AQI
1,88,51.5,6.5,29.56,0.00,85,56.5,6.5,23,56,4,0.6,30,186,4,4,200,198
2,84,59,6.5,29.6,0.00,88,51.5,6.5,88,133,4,1,42,263,4,4,198,189
3,82,68.5,4.5,29.64,0.00,84,59,6.5,90,121,7,1.1,33,254,4,3,189,122
4,78,78,5.5,29.73,0.87,82,68.5,4.5,61,79,3,0.9,30,185,3,2,122,96
5,82,72.5,6.5,29.74,0.00,78,78,5.5,47,64,3,0.9,39,156,2,3,96,134
6,76,84.5,11,29.645,0.87,82,72.5,6.5,82,95,3,1.1,38,198,3,2,134,96
7,80,68.5,13.5,29.475,0.12,76,84.5,11,72,105,4,1.5,33,93,2,3,96,113
8,78,76,5.5,29.475,0.00,80,68.5,13.5,32,50,2,0.8,20,175,3,4,113,161
9,88,58,12,29.445,0.00,78,76,5.5,39,60,2,0.7,30,226,4,4,161,169
10,86,53,9,29.465,0.00,88,58,12,75,100,3,1.1,29,234,4,3,169,136
11,82,64.5,3.5,29.535,0.00,86,53,9,24,54,2,0.6,33,200,3,5,136,208
12,86,71,6.5,29.575,0.00,82,64.5,3.5,46,93,4,0.9,44,311,5,4,208,191
13,87,66,18,29.515,0.00,86,71,6.5,73,133,4,1,40,256,4,3,191,131
14,83,67.5,9,29.575,0.02,87,66,18,64,92,4,0.8,24,195,3,3,131,127
15,82,73,6.5,29.715,0.02,83,67.5,9,34,68,3,0.7,35,190,3,2,127,97
16,85,71,5.5,29.76,0.00,82,73,6.5,35,50,2,1,26,157,2,4,97,175
17,84,70,4.5,29.77,0.00,85,71,5.5,68,89,3,1.2,35,240,4,3,175,120
18,84,73,10,29.695,0.01,84,70,4.5,53,70,3,1.1,28,182,3,2,120,88
19,84,74,4.5,29.57,0.00,84,73,10,61,85,3,0.9,27,146,2,3,88,110
20,86,79.5,3.5,29.53,0.43,84,74,4.5,74,86,2,0.8,25,171,3,3,110,127
21,76,87.5,7.5,29.715,0.12,86,79.5,3.5,97,118,2,0.8,31,174,3,2,127,53
22,76,69.5,4.5,29.81,0.00,76,87.5,7.5,22,29,2,0.7,26,104,2,1,53,38
23,78,77,3,29.71,0.00,76,69.5,4.5,23,37,2,0.7,31,77,1,2,38,60
24,80,77.5,3.5,29.695,0.00,78,77,3,43,61,2,0.8,38,106,2,2,60,57
25,80,70,5.5,29.78,0.00,80,77.5,3.5,41,57,2,0.8,40,43,2,2,57,80
26,72,77.5,6.5,29.74,0.04,80,70,5.5,33,53,4,0.9,33,137,2,1,80,43
27,77,72,5.5,29.755,0.00,72,77.5,6.5,22,39,2,0.7,31,86,1,2,43,64
28,80,66,4.5,29.875,0.00,77,72,5.5,40,66,3,1,47,117,2,2,64,70
29,77,72.5,6.5,29.785,0.00,80,66,4.5,28,58,2,0.8,44,125,2,2,70,91
30,76,70.5,5.5,29.665,0.00,77,72.5,6.5,32,61,2,0.7,39,150,2,3,91,129
31,79,71,4.5,29.715,0.00,76,70.5,5.5,38,67,3,0.7,35,192,3,4,129,200
32,84,71.5,5.5,29.725,0.00,79,71,4.5,79,105,2,1,37,265,4,2,200,90
33,82,79,5.5,29.605,2.60,84,71.5,5.5,67,85,2,1,30,144,2,2,90,51
34,86,67.5,6.5,29.43,0.00,82,79,5.5,34,52,4,1.1,26,90,2,2,51,90
35,88,61.5,10,29.53,0.00,86,67.5,6.5,21,48,2,0.7,19,149,2,3,90,112
36,83,66.5,8,29.585,0.20,88,61.5,10,22,44,3,0.6,37,174,3,3,112,136
37,84,59,6.5,29.52,0.00,83,66.5,8,28,60,3,0.7,35,200,3,2,136,78
38,84,54,6.5,29.53,0.00,84,59,6.5,17,34,2,0.5,30,134,2,2,78,88
39,82,66,14.5,29.47,0.04,84,54,6.5,10,33,2,0.5,30,146,2,4,88,162
40,78,75,3.5,29.455,0.00,82,66,14.5,30,70,3,0.7,40,227,4,3,162,101
41,80,77,5.5,29.515,0.00,78,75,3.5,22,36,2,0.6,26,162,3,3,101,125
42,79,69.5,9,29.635,0.16,80,77,5.5,64,86,2,0.8,33,188,3,3,125,119
43,72,90.5,7.5,29.755,1.85,79,69.5,9,91,117,2,1.2,39,139,3,1,119,46
44,79,80,9,29.77,0.20,72,90.5,7.5,31,39,2,0.8,37,79,1,2,46,57
45,79,72.5,6.5,29.75,0.02,79,80,9,41,52,2,0.9,36,99,2,2,57,93
46,80,75.5,6.5,29.7,0.00,79,72.5,6.5,28,41,2,0.8,26,152,2,3,93,106
47,79,73,10,29.695,0.20,80,75.5,6.5,54,76,4,1,32,167,3,2,106,85
48,78,72,4.5,29.755,0.00,79,73,10,56,73,2,0.9,37,142,2,2,85,92
49,78,79.5,11,29.825,0.47,78,72,4.5,22,37,2,0.7,28,151,2,2,92,72
50,78,78.5,4.5,29.83,0.08,78,79.5,11,53,74,3,1.2,54,123,2,2,72,70
51,78,76,2,29.755,0.00,78,78.5,4.5,41,55,2,1,32,124,2,2,70,99
52,84,76.5,5.5,29.665,0.00,78,76,2,60,73,3,1.2,37,159,2,3,99,133
53,80,81.5,7.5,29.755,0.24,84,76.5,5.5,71,95,2,1.1,39,197,3,2,133,98
54,83,64.5,9,29.695,1.18,80,81.5,7.5,74,105,2,1,35,97,2,2,98,57
55,78,55,12,29.8,0.00,83,64.5,9,20,28,2,0.7,27,109,2,1,57,47
56,74,49,6.5,29.875,0.00,78,55,12,14,37,2,0.6,38,82,1,1,47,47
