日期,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h,主要污染物,天气1,天气2,气温1,气温2,rain,weather,temp_mean,temp_range
2015/1/1,68,良,48,86,21,1,43,103,PM10,晴,晴,19,6,0,1,12.5,13
2015/1/2,73,良,53,97,19,1.2,62,81,NO2,晴,晴,20,7,0,1,13.5,13
2015/1/3,133,轻度污染,101,154,29,1.7,96,101,PM2.5,晴,晴,21,8,0,1,14.5,13
2015/1/4,91,良,68,107,23,1.5,85,70,NO2,多云,多云,23,14,0,2,18.5,9
2015/1/5,81,良,60,88,28,1.4,78,25,NO2,阴,阴,23,17,0,2,20,6
2015/1/6,110,轻度污染,83,114,21,1.6,84,42,PM2.5,小雨,小雨,24,14,1,3,19,10
2015/1/7,60,良,43,60,16,1.8,36,24,PM2.5,多云,多云,17,10,0,2,13.5,7
2015/1/8,61,良,44,61,18,1.4,33,92,PM2.5,多云,晴,18,6,0,2,12,12
2015/1/9,77,良,56,73,22,1.3,50,77,PM2.5,多云,多云,19,10,0,2,14.5,9
2015/1/10,78,良,57,79,24,1.2,54,85,PM2.5,多云,多云,19,11,0,2,15,8
2015/1/11,74,良,54,68,14,1.2,45,41,PM2.5,小雨,小雨,17,9,1,3,13,8
2015/1/12,46,优,32,43,5,1.2,39,29,NO2,中到大雨,中雨,12,9,1,4,10.5,3
2015/1/13,22,优,13,22,5,1.2,37,41,,小雨,多云,15,7,1,3,11,8
2015/1/14,36,优,23,36,9,1,37,66,,晴,晴,19,6,0,1,12.5,13
2015/1/15,60,良,43,62,10,0.9,54,69,NO2,晴,晴,19,5,0,1,12,14
2015/1/16,83,良,61,98,18,1.3,71,70,NO2,晴,晴,20,8,0,1,14,12
2015/1/17,67,良,48,68,15,0.9,55,85,NO2,多云,晴,19,8,0,2,13.5,11
2015/1/18,100,良,75,101,23,1.1,58,95,PM2.5,晴,晴,20,8,0,1,14,12
2015/1/19,88,良,66,95,20,1.1,60,98,PM2.5,晴,晴,20,7,0,1,13.5,13
2015/1/20,176,中度污染,133,180,37,2.1,145,97,PM2.5,晴,多云,21,10,0,2,15.5,11
2015/1/21,163,中度污染,124,158,33,1.9,120,104,PM2.5,霾,霾,22,9,0,2,15.5,13
2015/1/22,79,良,58,83,19,1.2,75,100,NO2,晴,晴,22,7,0,1,14.5,15
2015/1/23,87,良,64,96,31,1.1,91,105,NO2,晴,多云,23,10,0,2,16.5,13
2015/1/24,98,良,74,103,28,1.1,90,87,NO2,小雨,多云,21,14,1,3,17.5,7
2015/1/25,92,良,69,92,23,1.2,71,51,NO2,多云,多云,23,15,0,2,19,8
2015/1/26,92,良,68,87,22,1.2,69,42,PM2.5,多云,多云,25,14,0,2,19.5,11
2015/1/27,87,良,65,83,22,1.1,68,46,"NO2,PM2.5",多云,多云,24,14,0,2,19,10
2015/1/28,68,良,49,69,14,1,56,78,NO2,多云,多云,21,13,0,2,17,8
2015/1/29,71,良,52,83,19,1,67,82,NO2,多云,阴,21,12,0,2,16.5,9
2015/1/30,51,良,33,52,13,1.2,40,43,PM10,阴,多云,17,8,0,2,12.5,9
2015/1/31,51,良,36,51,12,1,38,33,PM2.5,多云,多云,17,9,0,2,13,8
2015/2/1,58,良,41,59,11,1,41,59,PM2.5,多云,多云,17,10,0,2,13.5,7
2015/2/2,73,良,54,79,14,1.2,61,74,NO2,晴,多云,19,11,0,2,15,8
2015/2/3,106,轻度污染,80,106,22,1.4,80,56,PM2.5,多云,多云,21,12,0,2,16.5,9
2015/2/4,68,良,49,62,12,1.3,42,28,PM2.5,多云,阴,19,9,0,2,14,10
2015/2/5,58,良,42,53,9,1.1,25,63,PM2.5,阴,多云,14,7,0,2,10.5,7
2015/2/6,116,轻度污染,88,111,26,1.1,51,60,PM2.5,多云,多云,17,8,0,2,12.5,9
